id,name,type,exp_name,m1a_hit,m5c_hit,m6a_hit,m7g_hit,full_hit,m1a_Regulation,m5c_Regulation,m6a_Regulation,m7g_Regulation,regulation,logFC,PValue,FDR,degree.x,closeness_centrality.x,betweenness_centrality.x,eigenvector_centrality.x,page_rank_score.x,clustering_coefficient.x,DNB,m1a_Foldchange,m5c_Foldchange,m6a_Foldchange,m7g_Foldchange,CCF_diff,CCF_abs_diff,CCF_p_ttest,CCF_p_wilcoxon,divergene,protein_degree,protein_closeness_centrality,protein_betweenness_centrality,protein_eigenvector_centrality,protein_page_rank_score,protein_clustering_coefficient,protein_m1.mean,protein_m0.mean,protein_Diff,protein_abs_Diff,protein_pvalue,lit_meta,lit_meta_colon
ENST00000462356,LRRC47,lncRNA,LRRC47,0,0,0,0,0,up,down,up,down,down,-0.453527645,0.860293968,0.940336203,15,4.03E-09,0,2.91E-05,1.34E-05,0.485714286,no,8.80604534,9.780487805,2.895129755,70.88446215,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000462395,COBL,lncRNA,COBL,0,1,1,0,2,up,up,up,down,up,2.012539076,0.000316801,0.011071514,1481,4.03E-09,0,0.302610741,4.68E-05,0.796823731,no,155.9,351,111.439834,42.87142857,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000462490,UROS,lncRNA,UROS,1,1,0,1,3,down,up,up,down,up,5.14898002,0.040513748,0.25877297,242,4.03E-09,0,0.015529405,2.34E-05,0.565447001,no,279.9,15.63414634,3.42898238,1330.5,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000462502,TESC,lncRNA,TESC,0,0,0,1,1,up,up,up,down,up,2.493833276,0.32598767,0.559172096,27,4.03E-09,0,3.43E-05,1.75E-05,0.413105413,no,23.53333333,5.083601286,6.030042918,416.5,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000462514,PTGDS,lncRNA,PTGDS,1,1,1,1,4,down,down,down,down,up,0.535949665,0.809999013,0.914290331,3,4.03E-09,0,1.23E-08,1.64E-05,0.666666667,no,179.2,12.35746606,30.55482858,1131.1,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000462569,UBE2G2,lncRNA,UBE2G2,1,0,0,0,1,down,down,up,down,down,-0.21178708,0.658465904,0.830095557,27,4.03E-09,0,1.04E-05,2.24E-05,0.33048433,no,620.7,8.304964539,5.857964761,4.693259972,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000462716,ELMSAN1,lncRNA,ELMSAN1,0,1,0,1,2,up,down,up,down,down,-0.839769184,0.037824654,0.252561362,58,4.03E-09,0,0.00215992,1.42E-05,0.520871143,no,43.14942529,211,2.138259985,831.9,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000462730,HDAC6,lncRNA,NA,1,0,1,1,3,down,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,272.1,6.210727969,17.54213483,316.8,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463167,WWTR1-IT1,lncRNA,WWTR1-IT1,1,1,0,1,3,up,up,down,down,down,-0.118164383,0.940013515,0.976879735,19,4.03E-09,0,2.79E-05,2.03E-05,0.397660819,no,517.4,211,6.38961039,682.4,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463181,HNRNPA2B1,lncRNA,HNRNPA2B1,0,1,0,1,2,down,down,up,down,down,-0.745794525,0.393984952,0.627612286,46,4.03E-09,0,0.000793429,1.43E-05,0.644444444,no,7.13150289,12.46341463,2.307618379,2360.9,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463275,HCG9,lncRNA,NA,0,1,0,1,2,down,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,6.722292994,361,6.816877153,233.7,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463390,ELMO1,lncRNA,ELMO1,1,0,1,0,2,down,up,down,down,down,-2.697196636,0.004018272,0.075438123,2321,4.03E-09,0,0.452092012,6.74E-05,0.608647432,no,442.5,3.039800995,20.87978142,61.43846154,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463411,PDLIM7,lncRNA,PDLIM7,0,0,0,1,1,up,up,down,down,down,-1.097689458,0.648344154,0.823562757,24,4.03E-09,0,1.28E-05,1.87E-05,0.311594203,no,2.582797155,2.082981716,2.39193514,1147.7,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463434,GUSBP2,lncRNA,GUSBP2,1,1,0,0,2,down,up,up,down,up,0.609865745,0.612707258,0.800303395,20,4.03E-09,0,7.12E-05,1.54E-05,0.368421053,no,946,251,7.811797753,9.49694501,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463462,RP4-800G7.2,lncRNA,NA,0,0,0,0,0,down,down,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,6.821656051,2.306413302,2.430016863,10.63346614,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463516,MYO1G,lncRNA,MYO1G,0,0,1,0,1,up,down,down,down,down,-0.131178591,0.951857421,0.980741647,10,4.03E-09,0,1.08E-06,1.58E-05,0.311111111,no,5.275159236,6.858310627,10.01575931,24.21563342,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463660,GBP2,lncRNA,GBP2,1,0,0,0,1,down,down,down,up,down,-2.043475044,0.000192161,0.007396686,2441,4.03E-09,0,0.477841057,7.01E-05,0.613154042,no,194.6,3.206405694,5.413969336,15.33625731,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463727,PTPRE,lncRNA,PTPRE,0,1,0,1,2,down,down,down,down,down,-1.888857918,0.000176566,0.00689948,807,4.03E-09,0,0.134272561,3.15E-05,0.700083943,no,22.85390428,12.9047619,3.840289608,2859.5,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463763,ASMTL,lncRNA,NA,0,0,0,0,0,down,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,5.454961832,3.678062678,2.443535964,91.41361257,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463770,BCR,lncRNA,BCR,1,0,0,0,1,down,up,up,down,down,-2.412899353,0.134498478,0.338506964,2,4.03E-09,0,0,3.49E-05,1,no,264.4,4.184079602,2.337084533,11.42881944,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000463899,NPL,lncRNA,NPL,0,1,0,0,1,down,down,down,down,down,-3.957314621,4.21E-09,6.13E-07,1769,4.03E-09,0,0.28563129,5.62E-05,0.530945213,no,23.04785894,10.83606557,12.67213115,150.6,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464015,YDJC,lncRNA,NA,0,0,1,1,2,down,up,up,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,8.485776805,5.684684685,7.734498309,777.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464025,LMO2,lncRNA,LMO2,1,0,0,0,1,down,up,down,down,down,-2.869815667,0.108315588,0.298191248,43,4.03E-09,0,0.001138486,1.43E-05,0.737541528,no,179.2,4.063063063,7.387612388,3.524793388,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464123,MLPH,lncRNA,MLPH,0,0,1,0,1,up,up,up,down,up,4.653481674,0.071255918,0.272695179,8,4.03E-09,0,0,3.57E-05,1,no,4.929640399,2.892901619,24.65918149,2.339247293,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464234,MUC4,lncRNA,MUC4,0,0,1,1,2,up,up,up,up,up,6.329250267,2.50E-12,7.41E-10,1138,4.03E-09,0,0.131359351,4.32E-05,0.520663789,no,6.56252062,10.39226519,87.90889831,392.1,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464314,GOLM1,lncRNA,GOLM1,0,0,0,1,1,up,up,up,down,up,6.300426807,0.002985993,0.060992984,173,4.03E-09,0,0.015329217,1.96E-05,0.573800242,no,13.52197802,3.447197972,5.079788201,952.1714286,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464333,SFI1,lncRNA,SFI1,0,0,0,1,1,down,up,up,down,up,1.827007881,0.255407369,0.478282865,163,4.03E-09,0,0.01184965,1.77E-05,0.717034007,no,13.09823678,4.099415205,6.051209104,865.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464458,MRPS5,lncRNA,MRPS5,0,0,0,1,1,down,down,up,down,up,4.790941634,0.069187325,0.272695179,3,4.03E-09,0,0,3.47E-05,1,no,2.595251716,5.132231405,2.300823045,3175.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464515,INHBA,lncRNA,INHBA,1,1,1,0,3,down,down,down,down,down,-4.341321478,1.00E-17,8.31E-15,1886,4.03E-09,0,0.344768424,5.85E-05,0.610171837,no,953.8,111.4761905,47.98980242,25.24242424,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464526,LST1,lncRNA,LST1,0,0,0,0,0,down,down,down,down,down,-0.170550037,0.927824145,0.971932704,11,4.03E-09,0,6.03E-07,1.75E-05,0.345454545,no,9.213266884,6.194882475,3.471813513,36.69868996,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464569,LAPTM5,lncRNA,LAPTM5,0,1,0,0,1,down,down,down,down,down,-5.486658296,1.42E-13,5.28E-11,2772,4.03E-09,0,0.572284888,7.71E-05,0.652196294,no,46.29171975,14.56913183,13.93442623,63.21802235,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464644,TBC1D10B,lncRNA,NA,0,0,0,0,0,up,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,3.072876072,3.606635071,4.032753116,10.06372549,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464802,FAM133DP,lncRNA,FAM133DP,0,0,0,0,0,down,down,down,down,down,-3.016671047,2.69E-09,4.09E-07,1473,4.03E-09,0,0.252618818,4.77E-05,0.601998104,no,4.743256262,2.918906176,3.593021759,19.18783616,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464852,TNRC18,lncRNA,TNRC18,0,0,0,1,1,up,up,up,down,up,2.053101548,0.188203743,0.415574826,580,4.03E-09,0,0.059444449,2.89E-05,0.752426895,no,10.17768595,2.97039778,3.8929895,1978.7,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464863,PSMB9,lncRNA,PSMB9,0,1,0,1,2,down,down,up,down,up,0.777659797,0.42157714,0.652133836,375,4.03E-09,0,0.043709512,2.27E-05,0.762352941,no,4.755401235,351,4.44490971,682.4,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464869,BAG6,lncRNA,BAG6,0,0,0,1,1,up,up,up,down,up,5.508757489,0.043610908,0.263679866,28,4.03E-09,0,0.000402366,1.51E-05,0.753968254,no,2.724901751,7.417910448,2.231490546,399.9,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464987,TSPAN4,lncRNA,TSPAN4,0,0,0,0,0,up,down,down,down,up,1.399322826,0.551062185,0.757437434,17,4.03E-09,0,0.000143802,1.44E-05,0.345588235,no,4.049819204,3.313787639,5.046728972,48.08350305,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000464998,NEXN,lncRNA,NA,0,0,0,1,1,down,down,down,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,15.18052516,8.300743889,6.179778052,4920.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465124,ARPC5L,lncRNA,ARPC5L,0,0,0,1,1,down,up,up,down,down,-0.580162535,0.355155496,0.590783563,16,4.03E-09,0,0.000160375,1.64E-05,0.475,no,37.96402878,9.450704225,2.846145423,732.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465143,ITSN1,lncRNA,ITSN1,1,0,0,1,2,down,down,up,down,down,-0.307593995,0.774288947,0.895049944,11,4.03E-09,0,4.00E-06,1.82E-05,0.381818182,no,752.4,3.358722359,8.542134831,632.5,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465174,TFDP1,lncRNA,TFDP1,0,0,1,1,2,up,up,up,down,up,2.353903349,0.358128183,0.593842304,48,4.03E-09,0,0.000681022,1.79E-05,0.439716312,no,5.674681754,8.95620438,7.575931232,333.4,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465308,ZEB2,lncRNA,ZEB2,0,1,1,1,3,down,down,down,down,down,-4.518610384,0.042867579,0.262175538,2445,4.03E-09,0,0.425222448,7.33E-05,0.507439947,no,3.830565614,29.72785829,19.93353175,11036,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465338,VIPR1,lncRNA,VIPR1,0,1,1,0,2,up,up,up,up,up,4.275924529,0.000900613,0.025249049,1182,4.03E-09,0,0.235133867,3.98E-05,0.747406411,no,3.258039914,431,28.59459459,4.881142098,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465458,MYH10,lncRNA,MYH10,0,1,1,0,2,down,down,down,down,down,-7.025899321,0.00639618,0.101843833,1561,4.03E-09,0,0.323377031,5.12E-05,0.713419241,no,30.67537313,11.52837573,10.66918783,6.12311266,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465600,TACC2,lncRNA,TACC2,0,1,1,1,3,up,up,up,down,up,3.187542176,1.01E-05,0.000587543,1550,4.03E-09,0,0.268097433,5.02E-05,0.563454466,no,18.184375,11.96676737,10.87865477,300.1,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465614,LMO2,lncRNA,NA,0,0,0,0,0,up,up,down,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,3.19416996,5.929577465,4.566978193,4.34294799,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465670,EIF3B,lncRNA,EIF3B,0,0,1,1,2,down,up,up,down,up,1.948317501,0.008083779,0.117726951,513,4.03E-09,0,0.073631027,2.48E-05,0.748926352,no,155.9,8.1886121,7.673847087,566,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465735,RASSF4,lncRNA,RASSF4,1,0,0,0,1,down,down,down,down,down,-3.463399284,2.84E-06,0.000195458,877,4.03E-09,0,0.080317332,3.82E-05,0.504402201,no,643.9,9.728522337,6.865296804,11.60827375,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465769,SULF2,lncRNA,SULF2,0,0,0,0,0,down,down,down,down,up,4.963659316,0.062799881,0.272695179,25,4.03E-09,0,0.001244789,1.31E-05,0.85,no,2.55985178,2.468388851,2.028481013,23.92920354,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465955,PRDM15,lncRNA,PRDM15,0,0,0,0,0,down,up,up,down,down,-1.382610082,0.517645742,0.732048144,9,4.03E-09,0,2.02E-05,1.53E-05,0.305555556,no,3.03979804,3.447129909,2.849303621,23.87649402,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000465960,CAPN13,lncRNA,NA,1,0,1,0,2,up,up,up,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,801.4,8.741935484,486,157.4,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466086,FTH1P2,lncRNA,NA,0,0,0,1,1,down,down,down,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,2.570131101,4.016815035,4.460894523,255.8638743,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466096,RABL6,lncRNA,RABL6,0,0,1,0,1,up,up,up,down,up,2.41470005,0.001226989,0.031899528,1507,4.03E-09,0,0.311146634,4.79E-05,0.738160387,no,7.118977384,8.507331378,234.8,31.15936255,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466229,CFH,lncRNA,CFH,0,0,1,1,2,down,down,down,down,down,-2.591265744,1.47E-10,3.11E-08,1577,4.03E-09,0,0.219987579,5.28E-05,0.538359959,no,6.139930421,4.867403315,23.74266366,1912.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466272,SMTN,lncRNA,NA,0,0,0,0,0,up,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,4.779839208,5.406490179,3.336394948,5.592592593,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466400,ABLIM1,lncRNA,ABLIM1,0,1,1,0,2,up,up,up,down,up,2.334461785,0.007082222,0.108872762,107,4.03E-09,0,0.005674088,1.66E-05,0.582965967,no,4.080506506,461,11.13299233,12.32154341,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466442,CARS,lncRNA,CARS,0,0,0,1,1,up,up,up,down,down,-4.345244324,0.070329317,0.272695179,421,4.03E-09,0,0.050176784,2.57E-05,0.638208347,no,2.403032037,2.262050833,3.401629227,748.9,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466612,ABTB1,lncRNA,ABTB1,0,0,0,0,0,up,up,up,down,down,-0.809881016,0.616797202,0.803202868,3,4.03E-09,0,6.97E-06,1.10E-05,0.333333333,no,4.071779744,5.278606965,2.147906262,93.4,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466653,ARID4B,lncRNA,ARID4B,1,0,0,1,2,down,down,down,down,down,-1.67653623,0.026863843,0.222631596,1617,4.03E-09,0,0.285635045,5.20E-05,0.598190176,no,272.1,6.714285714,5.375360071,699,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466698,SEMA4A,lncRNA,SEMA4A,0,1,1,0,2,up,down,down,down,down,-6.483096806,9.00E-05,0.003931796,1610,4.03E-09,0,0.29116809,5.09E-05,0.600811429,no,3.704545455,16.34031414,12.44804576,28.93934104,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466808,BTN2A3P,lncRNA,BTN2A3P,0,1,0,1,2,down,down,up,down,up,0.787796934,0.334758628,0.568916814,10,4.03E-09,0,1.48E-06,1.56E-05,0.311111111,no,14.48880597,17.19047619,4.920839183,1197.6,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466860,MIIP,lncRNA,NA,1,0,0,0,1,up,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,297.9,3.514619883,3.664079345,19.32276995,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466933,MTG2,lncRNA,MTG2,0,0,0,0,0,up,down,up,down,up,2.904254206,0.223043692,0.450464998,939,4.03E-09,0,0.195353412,3.45E-05,0.834369912,no,29.79310345,7.524822695,3.198275862,6.084955752,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000466998,TINAGL1,lncRNA,TINAGL1,0,1,0,0,1,up,up,up,down,up,5.258144689,5.40E-08,5.98E-06,2197,4.03E-09,0,0.432010627,6.46E-05,0.617576294,no,8.297533402,28.02199662,6.916188289,30.93530997,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467086,P4HB,lncRNA,NA,0,0,0,0,0,up,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,2.310571481,5.049586777,2.469569922,18.5468878,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467100,FUBP3,lncRNA,FUBP3,1,1,0,0,2,up,down,up,down,up,0.003896792,0.994164524,0.997566113,8,4.03E-09,0,1.09E-05,1.36E-05,0.392857143,no,207.6,191,4.243075559,109.3571429,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467107,PSORS1C1,lncRNA,PSORS1C1,0,1,1,1,3,up,up,up,up,up,3.78798755,5.95E-10,1.09E-07,1432,4.03E-09,0,0.20190824,4.92E-05,0.522579631,no,29.01212121,501,78.52395543,265.8,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467136,TAB3,lncRNA,TAB3,0,1,1,1,3,up,up,up,down,up,0.22867821,0.575908968,0.77553439,80,4.03E-09,0,0.00706242,1.40E-05,0.700316456,no,49.08045977,441,7.952322738,283.5,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467160,ATP13A1,lncRNA,ATP13A1,0,0,0,0,0,up,up,up,down,up,3.430594297,0.101360354,0.29291186,2641,4.03E-09,0,0.479263147,7.71E-05,0.541352277,no,155.9,3.408376963,2.006030337,26.87990581,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467187,GLYCTK-AS1,lncRNA,GLYCTK-AS1,0,0,0,0,0,down,up,up,down,down,-2.313371657,0.140802822,0.346570872,6,4.03E-09,0,0,3.49E-05,1,no,4.956942004,3.219757721,3.80370267,16.00465585,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467237,FASTK,lncRNA,FASTK,0,0,0,0,0,down,down,up,down,up,2.162718241,0.219214836,0.450157128,15,4.03E-09,0,4.72E-05,1.57E-05,0.323809524,no,6.057034221,7.543209877,6.779443255,12.99075026,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467411,CDCA7,lncRNA,NA,1,1,1,0,3,up,up,up,down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,749.8,19.0876494,45.085796,167.2,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467503,OGFRL1,lncRNA,OGFRL1,0,1,0,0,1,down,down,down,down,down,-3.720165142,3.29E-06,0.00022138,2205,4.03E-09,0,0.436732231,6.42E-05,0.651155393,no,3.314709596,11.42145594,6.536304457,15.9069907,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467658,TNRC6B,lncRNA,TNRC6B,1,1,0,1,3,down,down,down,down,down,-0.058051202,0.974830833,0.991134288,2,4.03E-09,0,6.31E-06,9.79E-06,1,no,194.6,13.25806452,3.386337543,433.1,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467661,NELFA,lncRNA,NELFA,0,0,0,0,0,up,up,up,down,down,-0.138599977,0.943870558,0.977800611,2,4.03E-09,0,7.17E-11,1.77E-05,1,no,5.789555729,3.410533423,3.737547893,11.86129458,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467664,CYTH4,lncRNA,CYTH4,0,1,1,0,2,down,down,down,down,down,-8.539499761,2.63E-05,0.001374397,3020,4.03E-09,0,0.597779592,8.47E-05,0.595516694,no,2.374981407,33.67175573,16.11153359,55.48797793,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467719,SLC22A18,lncRNA,SLC22A18,0,0,1,0,1,up,up,up,down,up,3.407579687,0.000192682,0.0073993,2701,4.03E-09,0,0.55645114,7.55E-05,0.625712288,no,155.9,11,55.504,3.927061311,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000467906,KLC4,lncRNA,KLC4,1,0,0,0,1,down,up,up,down,up,4.223676635,0.089558022,0.279313325,362,4.03E-09,0,0.04901424,2.47E-05,0.706585452,no,318.6,4.625730994,4.269733769,11.49187639,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000468045,PREB,lncRNA,PREB,0,0,0,1,1,down,up,up,down,up,0.725729265,0.694984434,0.84990953,14,4.03E-09,0,4.70E-05,1.35E-05,0.681318681,no,3.306575964,7.382978723,3.142279258,898.4,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000468115,INTS1,lncRNA,INTS1,0,0,1,0,1,up,up,up,down,up,2.144484476,0.072572728,0.272695179,77,4.03E-09,0,0.006770503,1.86E-05,0.64456596,no,155.9,3.564102564,11.7761807,3.874215175,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000468221,SLC11A1,lncRNA,SLC11A1,1,1,1,0,3,down,down,down,down,down,-4.315446978,5.05E-08,5.62E-06,2467,4.03E-09,0,0.504687302,7.05E-05,0.641348197,no,92.02158273,13.23140496,231.9,59.62948207,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
ENST00000468293,NOS3,lncRNA,NA,1,0,1,1,3,up,up,up,up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,762.7,7.862745098,9.338417541,289.8,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
